comp,var,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,dim_1,ind_1
som,carbon_09,0.9890955398713408,60.4349415953019,1.0166541968517178,2.600014336828605e-06,0.0203372141950278,0.10442442304681013,inf,0.00704912383534995,0.04370109927440255,0.9492497768902476,asp,3
som,carbon_10,0.9688783007515385,5.66897856070429,0.9758279661925414,7.420529148417148e-06,0.028008467640163622,0.1764134327324921,inf,0.0016258829746177966,0.002417608550827664,0.9959565084745545,asp,1
som,carbon_10,0.9733050112137037,134.93560482799847,0.9696516314506692,6.365042629064453e-06,0.025600609437329273,0.16338601159920735,inf,0.0012557779288130387,0.011037113729353603,0.9877071083418334,asp,2
som,carbon_10,0.9735694684847461,207.92703034516225,0.9891587749886347,6.30198653201095e-06,0.02602031643185546,0.16257469518733206,inf,0.00040765508296581384,0.00021177285547644602,0.9993805720615576,asp,3
som,carbon_11,0.9768391094956537,8.63428968737175,0.9661951009465746,5.522386863220401e-06,0.030161454803399518,0.15218702475686408,inf,0.0015752888233542494,0.02184966294593798,0.9765750482307078,asp,1
som,carbon_11,0.9798246843288485,229.16873825457944,0.9768300615473771,4.81051875802372e-06,0.02999450573657566,0.14203983832415285,inf,0.00010727156423764047,0.00859720016080179,0.9912955282749607,asp,2
som,carbon_11,0.9803931953588643,344.3076569343451,0.983101516174994,4.6749653412340865e-06,0.029974370349899557,0.14002430018084636,inf,1.5718847179899252e-05,0.0025859776693740308,0.997398303483446,asp,3
som,carbon_12,0.9814762629008631,4.267116965998213,0.9736191263524645,4.416723199603456e-06,0.02582582239865165,0.13610193642684476,inf,0.0015215409263665358,0.016124321334874726,0.9823541377387588,asp,1
som,carbon_12,0.9802701074455287,111.43227562034254,0.9908274365393898,4.7043139137986055e-06,0.02587749722750388,0.14046313592708712,inf,0.0002698511858299974,2.409475281351144e-05,0.9997060540613566,asp,2
som,carbon_12,0.9804298846652089,171.32433954178143,0.9908370479886993,4.666217294895354e-06,0.025930961143305665,0.13989322833786888,inf,0.000433058122107772,1.9495304826496434e-05,0.9995474465730657,asp,3
som,carbon_13,0.9764141630594685,1.9438183707585401,0.9678367026218502,5.62370933250631e-06,0.01502454691513919,0.15357681120706818,inf,0.0001321345710569944,0.017963837067369558,0.9819040283615735,asp,1
som,carbon_13,0.9771186814754758,54.54836290430431,0.9866584910591436,5.455726877568961e-06,0.015327674473903508,0.15126572157803703,inf,4.218907166905928e-05,0.0001582930860327466,0.9997995178422981,asp,2
som,carbon_13,0.9776274638369777,82.85443445436279,0.9906246748383716,5.334414917268073e-06,0.01531666335029174,0.149574517091055,inf,6.532823865976569e-05,0.00014620378899703762,0.9997884679723431,asp,3
som,carbon_14,0.8995688819285869,1.7717377728099704,0.9373166074347067,2.3946380083789485e-05,0.023187762359597304,0.3169086904321387,inf,0.00012090295672148006,0.0015689362317517857,0.9983101608115268,asp,1
som,carbon_14,0.8795660957572038,49.313850783039115,0.9592665010121358,2.871576162203057e-05,0.025996109883309117,0.3470358832207359,inf,0.0007677652715971919,0.003077503486667077,0.9961547312417357,asp,2
som,carbon_14,0.8908683855757875,72.18576023601207,0.9523807202917193,2.6020890420651533e-05,0.024528841093600734,0.33035074454920266,inf,0.000504594645667746,0.00043565821487410577,0.9990597471394581,asp,3
som,carbon_15,0.9719789309027983,5.834767314779587,0.970496619857287,6.68122772942338e-06,0.03918162746662548,0.1673949494375552,0.14535312833208983,0.006426491717585851,0.008803574356689816,0.9847699339257243,asp,1
som,carbon_15,0.9719291252009246,150.8975075690791,0.9653622047930274,6.693103194820072e-06,0.040022607663050984,0.1675436504290013,0.1559187181131523,0.008794353171523937,0.01562825833379824,0.9755773884946778,asp,2
